DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-124,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-125,"99,4%","99,4%","99,4%","99,6%","99,1%","98,9%","98,7%","98,3%","98,3%","98,3%","98,3%","98,3%"
R1-126,"97,1%","97,1%","97,1%","97,1%","97,1%","97,1%","97,1%","97,1%","97,1%","97,1%","97,1%","97,1%"
R1-127,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-128,"98,9%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%"
R1-129,"99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-130,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-131,"99,2%","99,3%","99,6%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,8%","99,9%","99,9%"
R1-132,"97,6%","97,6%","97,6%","97,1%","97,8%","97,8%","98,2%","98,6%","98,5%","98,5%","98,4%","98,4%"
R1-133,"99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-134,"100,0%","100,0%","100,0%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%"
R1-135,"92,8%","93,0%","93,0%","93,2%","93,1%","93,4%","93,4%","93,4%","93,7%","93,6%","93,7%","93,8%"
R1-136,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,8%","99,8%","100,0%","100,0%","100,0%"
R1-137,"99,5%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,5%","99,5%"
R1-138,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-139,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%"
R1-140,"99,8%","100,0%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%"
R1-141,"99,1%","99,7%","99,7%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%"
R1-142,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-143,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-145,"99,9%","99,9%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%"
R1-146,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-147,"99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%"
R1-148,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-149,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-150,"99,8%","99,8%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,8%","99,9%","99,9%","99,9%"
R1-151,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-152,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-153,"97,7%","97,7%","97,6%","99,7%","99,7%","99,7%","99,6%","99,6%","99,6%","99,5%","99,3%","99,1%"
R1-154,"98,7%","98,8%","98,5%","97,8%","98,1%","98,1%","98,4%","98,4%","98,2%","97,8%","97,8%","97,5%"
R1-155,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,8%","99,8%","99,8%"
R1-156,"99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-157,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-158,"98,2%","98,7%","99,1%","99,1%","99,1%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%"
R1-159,"99,6%","99,8%","99,9%","99,9%","99,3%","99,9%","99,9%","99,9%","99,9%","99,9%","99,8%","99,8%"
R1-160,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","100,0%","100,0%","100,0%","99,8%","99,6%","99,6%"
R1-161,"99,4%","99,4%","99,4%","99,1%","98,9%","98,9%","99,1%","99,1%","99,0%","99,2%","99,2%","98,9%"
R1-162,"99,6%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-163,"100,0%","99,6%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-164,"99,9%","99,9%","99,7%","99,6%","99,7%","99,9%","99,9%","99,6%","99,9%","99,9%","99,9%","99,9%"
R1-165,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-166,"99,4%","99,5%","99,5%","99,5%","99,5%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%"
R1-167,"94,6%","94,6%","95,0%","95,4%","95,5%","95,5%","95,8%","95,9%","96,0%","96,1%","96,0%","96,0%"
R1-168,"99,9%","99,9%","99,9%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-169,"99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%"
R1-170,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-171,"99,6%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-172,"99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,8%","99,7%","99,7%","99,7%"
R1-173,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-174,"99,8%","99,8%","99,8%","99,8%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-175,"95,1%","99,1%","99,7%","99,7%","99,8%","99,8%","99,8%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-176,"95,2%","95,3%","96,8%","96,9%","96,9%","97,0%","97,0%","97,3%","97,8%","98,1%","98,1%","97,8%"
R1-177,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-178,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-179,"98,6%","98,8%","98,8%","99,1%","99,1%","99,1%","99,1%","99,1%","99,2%","99,3%","99,4%","99,4%"
R1-180,"87,7%","95,7%","97,9%","98,4%","98,5%","98,5%","98,5%","98,5%","98,5%","98,6%","98,8%","99,1%"
R1-181,"98,8%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-182,"97,2%","98,8%","100,0%","99,0%","100,0%","99,2%","100,0%","99,3%","100,0%","99,5%","97,4%","99,5%"
R1-183,"99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%"
R1-184,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-185,"99,4%","99,4%","99,4%","99,1%","99,4%","99,4%","99,4%","99,4%","99,1%","99,0%","98,7%","98,7%"
R1-186,"97,9%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,3%","98,3%","98,3%"
R1-187,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-188,"99,5%","99,5%","99,5%","99,5%","99,5%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%"
R1-190,"100,0%","99,8%","99,7%","99,8%","99,6%","99,6%","99,0%","99,1%","98,9%","98,8%","99,0%","99,0%"
R1-191,"99,6%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-192,"98,9%","98,9%","98,9%","98,9%","98,9%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%"
R1-193,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-194,"80,5%","78,7%","77,9%","77,2%","74,7%","74,7%","73,1%","72,5%","71,7%","70,9%","70,4%","68,4%"
R1-195,"99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%"
R1-196,"98,7%","98,7%","98,7%","99,4%","99,4%","99,4%","99,7%","99,5%","99,4%","99,1%","99,1%","99,1%"
R1-197,"89,5%","89,5%","89,5%","91,1%","91,2%","91,2%","94,3%","94,3%","94,3%","94,3%","94,3%","94,3%"
R1-198,"98,2%","98,2%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,6%","98,6%"
R1-199,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-200,"99,2%","99,2%","99,2%","99,1%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,3%","99,3%"
R1-201,"98,7%","98,8%","98,8%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,1%"
R1-202,"99,0%","99,2%","99,6%","99,6%","99,6%","99,6%","99,6%","99,8%","99,8%","99,4%","99,8%","100,0%"
R1-203,"99,0%","99,0%","99,0%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%"
R1-204,"98,4%","98,6%","98,5%","98,4%","99,0%","99,2%","99,1%","99,1%","99,0%","98,9%","98,8%","98,7%"
R1-205,SIN DATOS,SIN DATOS,SIN DATOS,"0,0%","0,0%","0,0%",SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-206,"96,8%","96,8%","98,0%","97,8%","97,8%","97,8%","97,4%","97,4%","97,4%","97,2%","97,2%","97,0%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-207,"99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%"
R1-208,"99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-210,"100,0%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%"
